address,price,price_per_sqm,rooms,floor,sqm,date,lot_sqm,housing_type,monthly_fee,build_year,starting_price,page
Eslövsgatan 9G,1995000,38400,2,2,52,2025-06-27,,Lägenhet,3298,1936,1995000,4
Föreningsgatan 65A,4000000,37000,3,1,108,2025-06-27,,Lägenhet,6587,1928,4150000,4
Lagmansgatan 3C,1795000,30400,2,1,59,2025-06-27,,Lägenhet,3943,1964,1795000,4
Hjorttackegatan 1,4200000,64600,2,2,65,2025-06-27,,Lägenhet,3925,1907,4395000,4
Erikslustvägen 42J,2300000,34800,3,2,66,2025-06-27,,Lägenhet,4650,1953,2300000,4
Solvändegatan 5C,930000,16000,2,1,58,2025-06-27,,Lägenhet,3923,1959,995000,4
Per Albin Hanssons väg 56B,1450000,19500,3,9,74,2025-06-26,,Lägenhet,6372,1957,1450000,4
Västanväg 47A,1100000,22000,1,2,50,2025-06-26,,Lägenhet,3813,1947,1195000,4
Köpmansgatan 14,650000,9800,2,4,66,2025-06-26,,Lägenhet,4835,1946,595000,4
Sofierogatan 4D,1450000,27400,2,3,53,2025-06-26,,Lägenhet,3242,1944,1395000,5
Törnskärsgatan 2A,2400000,48000,2,4,50,2025-06-26,,Lägenhet,2941,1936,2495000,5
Sveagatan 98C,1875000,31800,2,3,59,2025-06-26,,Lägenhet,3992,1949,1895000,5
Klubbegatan 8A,1382000,26800,2,3,51,2025-06-26,,Lägenhet,3279,1960,1395000,5
Torupsgatan 1A,1825000,32600,2,2,56,2025-06-26,,Lägenhet,4083,1953,1850000,5
Mariedalsvägen 49C,1950000,39000,2,3,50,2025-06-26,,Lägenhet,4452,1954,1995000,5
Dockgatan 11,8000000,70800,4,5,113,2025-06-26,,Lägenhet,5906,2013,7895000,5
Ängelholmsgatan 10C,2300000,41800,2,4,55,2025-06-26,,Lägenhet,5242,1910,2495000,5
Arkitektgatan 33,2875000,34200,3,2,84,2025-06-26,,Lägenhet,5660,1967,2895000,5
Östra Rönneholmsvägen 27A,2495000,54200,2,3,46,2025-06-26,,Lägenhet,2851,1937,2495000,5
Serenadgatan 17,1200000,15000,3,3,80,2025-06-26,,Lägenhet,6038,1972,1145000,5
Kollegiegatan 3A,750000,18100,1,4,41,2025-06-26,,Lägenhet,2367,1961,795000,5
Regementsgatan 21,5170000,68000,3,6,76,2025-06-26,,Lägenhet,4389,1929,4995000,5
Kvartettgatan 48,1450000,18100,3,2,80,2025-06-26,,Lägenhet,6038,1972,1475000,5
Axel Danielssons väg 81,1500000,18800,3,1,80,2025-06-26,,Lägenhet,5194,1973,1595000,5
Stadiongatan 49A,1795000,23800,3,8,75,2025-06-25,,Lägenhet,4982,1958,1795000,5
Kristianstadsgatan 20,2500000,32500,3,4,77,2025-06-25,,Lägenhet,7514,1933,2595000,5
Stormastgatan 9,2405000,51200,2,3,47,2025-06-25,,Lägenhet,2969,2016,2395000,5
Folketshusvägen 9,2700000,32500,3,1,83,2025-06-25,,Lägenhet,5631,2021,2900000,5
Disponentgatan 29,4800000,45700,4,4,105,2025-06-25,,Lägenhet,5962,1931,4995000,5
Husargatan 8,4350000,51200,3,2,85,2025-06-25,,Lägenhet,5409,1909,4295000,5
Bokhållaregatan 33,6200000,40300,4,3,154,2025-06-25,,Lägenhet,8425,1932,6795000,5
Fredriksbergsgatan 8,995000,41500,1,5,24,2025-06-25,,Lägenhet,1686,1930,995000,5
Balladgatan 5,1400000,17000,3,2,82,2025-06-25,,Lägenhet,5030,1971,1495000,5
Regementsgatan 13,6300000,55300,5,5,114,2025-06-25,,Lägenhet,7281,1929,6495000,5
Grönalundsgatan 7B,1600000,28600,2,4,56,2025-06-25,,Lägenhet,4141,1956,1650000,5
Närkesgatan 3,850000,36200,1,1,23,2025-06-25,,Lägenhet,2079,1957,795000,5
Nikolaigatan 1:2,1495000,40700,1,1,36,2025-06-25,,Lägenhet,2455,1934,1495000,5
Östra Varvsgatan 3BC,2650000,48200,2,2,55,2025-06-25,,Lägenhet,4459,,2695000,5
Sergeantgatan 14,2000000,23400,3,2,85,2025-06-25,,Lägenhet,4525,,2000000,5
Skvadronsgatan 20,2200000,47800,2,1,46,2025-06-24,,Lägenhet,4051,1944,1995000,5
Höbalsgatan 23,1725000,31400,2,1,55,2025-06-24,,Lägenhet,4126,,1750000,5
Per Albin Hanssons väg 56A,1750000,25700,3,8,68,2025-06-24,,Lägenhet,5607,1957,1695000,5
Eslövsgatan 9G,2895000,39700,2,3,73,2025-06-24,,Lägenhet,4747,1936,2895000,5
Mariedalsvägen 44,4250000,53800,3,5,79,2025-06-24,,Lägenhet,5003,1911,4195000,5
Ellstorpsgatan 4N,1275000,27100,2,4,47,2025-06-24,,Lägenhet,4642,,1350000,6
Glasbrukskajen 2C,2500000,47200,2,4,53,2025-06-24,,Lägenhet,3689,2018,2595000,6
Köpenhamnsvägen 69C,5375000,56000,4,,96,2025-06-24,,Lägenhet,7233,1948,5375000,6
Sofierogatan 3A,1525000,28500,2,2,53,2025-06-24,,Lägenhet,3698,1945,1595000,6
Högatan 11,3600000,40000,4,5,90,2025-06-24,,Lägenhet,6981,2018,3695000,6
Östergårdsgatan 1,3100000,43400,3,3,71,2025-06-24,,Lägenhet,5477,1917,3295000,6
Serenadgatan 22,840000,13100,2,6,64,2025-06-24,,Lägenhet,5227,1972,900000,6
Båtbyggaregatan 106,3300000,35700,3,2,92,2025-06-24,,Lägenhet,4930,1996,3495000,6
Slädgatan 7,3295000,45800,3,5,72,2025-06-24,,Lägenhet,5190,2021,3295000,6
Knopgränd 1A,2195000,41000,2,1,53,2025-06-24,,Lägenhet,3906,2020,2195000,6
Serenadgatan 33,995000,12100,3,3,82,2025-06-23,,Lägenhet,5030,1971,995000,6
Kronetorpsgatan 68A,1300000,18800,3,7,69,2025-06-24,,Lägenhet,4939,1961,1395000,6
Norra Tennisgränd 4,1720000,31900,2,2,54,2025-06-24,,Lägenhet,3870,2018,1795000,6
Ernst Ahlgrensgatan 4C,5500000,57900,4,2,95,2025-06-23,,Lägenhet,5453,1953,5295000,6
Karolingatan 30,1475000,17400,3,8,85,2025-06-23,,Lägenhet,6402,1968,1495000,6
Fågelbacksgatan 6H,3210000,37800,3,5,85,2025-06-23,,Lägenhet,5634,,2995000,6
Nobelvägen 103B,1045000,20100,2,2,52,2025-06-23,,Lägenhet,4065,1954,895000,6
Värnhemsgatan 3,3275000,35600,3,2,92,2025-06-23,,Lägenhet,6592,1926,3395000,6
Stora Kvarngatan 14C,2325000,35200,2,1,66,2025-06-23,,Lägenhet,4348,1879,2350000,6
Vallmovägen 1E,1850000,26800,2,2,69,2025-06-23,,Lägenhet,,,,6
Köpenhamnsvägen 11C,2070000,39100,2,3,53,2025-06-23,,Lägenhet,4447,,2095000,6
